valid_time,t2m,latitude,longitude,tp,hour,day,dayofweek,month,year,is_weekend,t2m_lag_1,t2m_lag_24,tp_lag_1,tp_lag_24,t2m_rollmean_3,t2m_rollmean_24
2022-10-22 08:00:00,29.696893,34.900000000001064,10.799999999999985,0.0,8,22,5,10,2022,1,29.53752,29.581604,0.0,0.0,29.548075666666666,29.62593829166667
2022-10-22 09:00:00,29.813422000000003,34.900000000001064,10.799999999999985,0.0,9,22,5,10,2022,1,29.696893,29.692108,0.0,0.0,29.68261166666667,29.630993041666667
2022-10-22 10:00:00,29.9027,34.900000000001064,10.799999999999985,0.0,10,22,5,10,2022,1,29.813422000000003,29.77965,0.0,0.0,29.804338333333334,29.636120125
2022-10-22 11:00:00,29.972208,34.900000000001064,10.799999999999985,0.0,11,22,5,10,2022,1,29.9027,29.841766,0.0,0.0,29.896110000000004,29.641555208333333
2022-10-22 12:00:00,30.01697,34.900000000001064,10.799999999999985,0.0,12,22,5,10,2022,1,29.972208,29.87649,0.0,0.0,29.96395933333333,29.647408541666668
2022-10-22 13:00:00,30.043372,34.900000000001064,10.799999999999985,0.0,13,22,5,10,2022,1,30.01697,29.884442,0.0,0.0,30.01085,29.654030625
2022-10-22 14:00:00,30.037027,34.900000000001064,10.799999999999985,0.0,14,22,5,10,2022,1,30.043372,29.86329,0.0,0.0,30.032456333333332,29.661269666666666
2022-10-22 15:00:00,29.99643,34.900000000001064,10.799999999999985,0.0,15,22,5,10,2022,1,30.037027,29.825674,0.0,0.0,30.025609666666668,29.668384500000002
2022-10-22 16:00:00,29.913354,34.900000000001064,10.799999999999985,0.0,16,22,5,10,2022,1,29.99643,29.771667,0.0,0.0,29.982270333333332,29.674288125
2022-10-22 17:00:00,29.791876,34.900000000001064,10.799999999999985,0.0,17,22,5,10,2022,1,29.913354,29.698328,0.0,0.0,29.900553333333335,29.678185958333334
2022-10-22 18:00:00,29.715704,34.900000000001064,10.799999999999985,0.0,18,22,5,10,2022,1,29.791876,29.639908,0.0,0.0,29.806977999999997,29.681344125
2022-10-22 19:00:00,29.670923,34.900000000001064,10.799999999999985,0.0,19,22,5,10,2022,1,29.715704,29.622058,0.0,0.0,29.726167666666665,29.683380166666666
2022-10-22 20:00:00,29.63427,34.900000000001064,10.799999999999985,0.0,20,22,5,10,2022,1,29.670923,29.583777,0.0,0.0,29.67363233333333,29.68548404166667
2022-10-22 21:00:00,29.60191,34.900000000001064,10.799999999999985,0.0,21,22,5,10,2022,1,29.63427,29.555267,0.0,0.0,29.635701,29.6874275
2022-10-22 22:00:00,29.573563,34.900000000001064,10.799999999999985,0.0,22,22,5,10,2022,1,29.60191,29.532126,0.0,0.0,29.603247666666665,29.68915404166667
